,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,SEATTLE HOST HOTEL COMPANY L L C,SEATTLE HOST HOTEL COMPANY LLC,602 658 705,944347,"4747 BETHESDA AVENUE, SUITE 1300, BETHESDA, MD, 20814-5584, UNITED STATES",Active,False,False,False
1,8TH & PINE JOINT VENTURE,8TH & PINE JOINT VENTURE LLC,603 459 107,1092741,"10400 NE 4TH ST, #2225, BELLEVUE, WA, 98004-5184, UNITED STATES",Active,False,False,False
2,ACORN DEVELOPMENT LLC ,ACORN DEVELOPMENT CORP.,601 430 169,476734,,Terminated,True,False,False
3,ACORN DEVELOPMENT LLC ,ACORN DEVELOPMENT LLC,603 183 512,1093666,"410 TERRY AVENUE  NORTH, SEATTLE, WA, 98103, UNITED STATES",Active,False,False,False
4,ACORN DEVELOPMENT LLC ,ACORN HOUSING DEVELOPMENT LIMITED PARTNERSHIP,601 946 235,14601,,Inactive,True,False,False
